NID,Resource State,Title,Address,Address ZIP,Addr Additional,Addr City,Addr State,URL,Description,Federal and State Technology (FAST) Partnership Program Awardee,Procurement Technical Assistance Center (PTAC),SBA Regional Innovation Cluster,SBA Growth Accelerator,Small Business Development Center (SBDC),State Contact,Manufacturing Extension Partnership (MEP),POCC,B2S,MBC,POC,POC Title,POC Email,POC Phone,POC Fax
736125,Alabama,Alabama Small Business Development Center,621 Greensboro Ave.,35487,Box 870396,Tuscaloosa,Alabama,http://asbdc.org/,"The Alabama Small Business Development Center (ASBDC) is a statewide program that provides management and technical assistance to small businesses at each of the ten centers located at partnering Alabama universities. The Alabama SBDC Network specializes in one-on-one business advising and educational training for small businesses.  Programs of assistance are developed in response to small business needs and growth opportunities for expansion of the state's economy. 
",No,No,No,No,Yes,No,No,No,No,No,Michael Brooks,Associate Director,asbdc@ua.edu ,(205) 348-1582,() -
736129,Alabama,Alabama Launchpad,1320 1st Ave. S.,35233,,Birmingham,Alabama,http://alabamalaunchpad.com,"A program of the Economic Development Partnership of Alabama (EDPA), the Alabama Launchpad is an early-stage seed fund investor driving innovation and job growth through startup competitions and ongoing mentoring for Alabma entrepreneurs.  ",No,No,No,No,No,Yes,No,No,No,No,,,launchpad@edpa.org ,(205) 943-4700,() -
736133,Alabama,BizTech,515 Sparkman Dr. NW,35816,,Huntsville,Alabama,http://www.biztech.org,"BizTech is a small business incubator that accelerates the growth and successfully launches entrepreneurial companies through an array of business support resources and services. BizTech helps technology-based companies gain access to mentors and advisors, group experiences, training, shared office space or virtual opportunities, professional assistance, and capital that will move them onto the fast track to success. BizTech also sponsors and administers programs to nurture new entrepreneurs in operating their companies.",No,No,No,No,No,Yes,No,No,No,No,,,,(256) 704-6000,() -
736135,Alaska,Alaska Small Business Development Center (AKSBDC),1901 Bragaw Street,99508,Suite 199,Anchorage,Alaska,https://aksbdc.org/,"Hosted by the University of Alaska Anchorage (UAA) through the Business Enterprise Institute (BEI), the Alaska Small Business Development Center (SBDC), along with its network of programs, provides free consulting services and low cost educational programs to entrepreneurs looking to start or grow their small business. The Alaska SBDC business advisors work with entrepreneurs in confidential, one-to-one sessions in the areas of management, marketing, sales, finance, accounting, and other disciplines required for small business growth, expansion, and innovation, including SBIR/STTR program assistance. Operating under the guidance of the State Director, the Alaska SBDC has evolved into a network of statewide centers, including three additional specialized business assistance programs, including the Technology and Research Development Center of Alaska (TREND).  TREND has a central mission to assist Alaska's small businesses and entrepreneurs in commercializing their technology, and assist Alaska businesses to compete and win federal research and development grants. TREND offers cash awards and proposal writing assistance to develop SBIR grant applications.",No,No,No,No,Yes,No,No,No,No,No,Isaac Vanderburg,Executive Director,info@aksbdc.org,(907) 786-7275,() -
736141,Arizona,Arizona Small Business Development Center,2411 W. 14th St.,85281,Suite 114,Tempe,Arizona,https://www.azsbdc.net/,"The Arizona Small Business Development Center (AZSBDC) network services include free, one-on-one business counseling, planning assistance, technology development,  identifying sources of capital, international trade (import and export) assistance, and affordable training/workshops, amongst others. The AZSBDC also has special initiatives in Veterans Assistance and Government Contracting. The AZSBDC network includes 10 Service Centers and additional satellite locations throughout Arizona. ",No,No,No,No,Yes,No,No,No,No,No,Janice Washington,State Director,janice.washington@domail.maricopa.edu ,(480) 731-8720,() -
736153,Arkansas,Arkansas Small Business and Technology Development Center (SBTDC),2801 S. University Ave.,72204,,Little Rock,Arkansas,asbtdc.org,"The Arkansas Small Business and Technology Development Center (ASBTDC), hosted at the University of Arkansas at Little Rock College of Business, assists entrepreneurs whose business focuses on innovation, new technology development or new applications of existing technology. The ASBTDC focuses on entrepreneurs engaged in engineering, science or technology; including biosciences, engineering, agriculture, information technology and similar high-tech areas. Technology & Innovation Business services include consulting, research and training for technology business planning, alternative financing, market research, and SBIR/STTR support. All services are available at low or no-cost through the ASBTDC's partnership with the U.S. Small Business Administration (SBA)and higher education institutions across Arkansas.",Yes,No,No,No,Yes,No,No,No,No,No,Rebecca Todd,Innovation Consultant,rctodd@ualr.edu,(800) 862-2040,() -
736169,Colorado,Colorado Small Business Development Center (CSBDC),1600 Broadway,80202,Suite 2500,Denver,Colorado,https://www.coloradosbdc.org/,"The Colorado Small Business Development Center Network (CSBDC) is dedicated to helping existing and new businesses grow and prosper in Colorado by providing free and confidential consulting and no- or low-cost training programs 
The CSBDC has locations around the state with a team of business experts ready to help small businesses secure loans, increase sales, win government contracts, obtain certifications and more. The SBDC Technology Program (SBDC TechSource) is a multi-faceted program maximizing the economic potential of Colorado companies through direct assistance for science and technology ventures, as well as cybersecurity and risk management education for all businesses. TechSource Commercialization supports the launch and growth of Colorado science & technology ventures'startup through second stage'with specialized consulting, accelerator programs, workshops, and events. Different from other accelerators and incubators, the focus is on non-dilutive capital sources for small innovative businesses (where the company does not give up ownership), including SBIR/STTR grants, federal R&D tax credits, and support for technology commercialization to get to market faster.",Yes,No,No,No,Yes,No,No,No,No,No,,,info@coloradosbdc.org ,(303) 892-3840,() -
736171,Colorado,Colorado Office of Economic Development and International Trade (OEDIT),1625 Broadway,80202,Suite 2500,Denver,Colorado,https://choosecolorado.com/,"The Colorado Office of Economic Development and International Trade (OEDIT) offers a host of programs and services tailored to support business development at every level including business funding and incentives. OEDIT offers Advanced Industries Accelerator Programs in support of Colorado's seven advanced industries: advanced manufacturing; aerospace; bioscience; electronics; energy and natural resources; infrastructure engineering; and technology and information. In addition to credit, funding, and job training programs, a set of advanced industry grants make up the Advanced Industries Accelerator programs which are designed to promote growth and sustainability in these industries by helping accelerate commercialization, encourage public-private partnerships, increase access to early stage capital, and create a strong ecosystem that increases the state's global competitiveness.  ",No,No,No,No,No,Yes,No,No,No,No,,,oedit.info@state.co.us ,(303) 892-3840,() -
736175,Connecticut,Connecticut Small Business Development Center,222 Pitkin St.,6108,,East Hartford,Connecticut,https://ctsbdc.com/,"The Connecticut Small Business Development Center (CTSBDC),hosted at the University of Connecticut (UConn), provides no-cost business advising to entrepreneurs in the state who are starting or growing their business. Small business owners and entrepreneurs can meet with professional business advisors who are ready to help investigate capital opportunities, prepare loan documents, export products, determine growth strategies, complete market research, develop marketing plans, prepare for business disruption, and more.",No,No,No,No,Yes,No,No,No,No,No,Emily Carter,State Director,ctsbdc@uconn.edu ,(860) 486-4270,() -
736193,Delaware,Delaware Small Business Development Center (DSBDC): SBIResource,1 Innovation Way,19711,Suite 301,Newark,Delaware,https://delawaresbdc.org/special-programs/delaware-sbiresource/,"The Delaware SBDC, a unit of the University of Delaware's Office of Economic Innovation and Partnerships (OEIP), delivers training programs and FREE professional consulting services to help innovators, startups, and existing small businesses formulate and execute strategies to grow and succeed. The SBDC is the only statewide, nationally accredited program that provides high quality one-on-one consulting, training and information resources.  The SBIResource program  is designed to provide qualified entrepreneurs and early-stage research and development companies with single point of contact for proposal submission applicants; customized agency research and focused submission advice for applicants; tailored writing assistance for applicants; proposal development and advisory services to deliver a comprehensive winning submission; and, a consulting package valued at $50,000 per applicant submission. The Delaware SBDC offers several funding programs.  Delaware SBIR Bridge Grant: A grant program designed to assist SBIR Phase II applicants bridge the funding gap between Phase I and Phase II awards. Delaware CAT Grant: The Bioscience CAT's mission is to support and grow Delaware's economy and bioscience community by fostering innovative applied research collaborations between Delaware businesses and academic institutions. First State Innovation: FSI helps technology-based and early stage businesses find traditional seed capital, alternative funding, skilled human capital, commercialization assistance, intellectual capital, and other entrepreneurial resources. Horn Program in Entrepreneurship's Hen Hatch Startup Funding Competition: Hen Hatch is the University of Delaware's premier startup funding competition. It provides entrepreneurial students, alumni, faculty, and staff with the opportunity to make connections and collect feedback on their ideas while competing for startup cash and prizes totaling $100,000.",Yes,No,No,No,Yes,No,No,No,No,No,Louis DiNetta,,delaware-sbdc@udel.edu ,(302) 831-1555,
